user,content,translation,timestamp,country,sentiment,issue/problema,standpoint,arguments
@LamgerYaron,"מצד אחד הם די הושפלו, נהדפו מערים, חלק ברחו מקרבות, ואפילו נלקחו בשבי. מצד שני אלו לא מובחרים או המאומנים, ומדובר בערך בשליש מהכח הכולל שפעל בשטח","On the one hand, they were quite humiliated, pushed out of cities, some fled from battles, and were even taken captive. On the other hand, these are not elite or trained, and it is about a third of the total force that operated in the field","Feb 25, 2022 · 2:48 AM UTC",IL,,,,
@nah99313673,אמרו להם לברוח 3 שבועות! עכשיו מתלוננים שלא עונים לטלפונים?,They were told to run away for 3 weeks! Now they complain about not answering the phones?,"Feb 24, 2022 · 5:31 AM UTC",IL,,,,
@V7bvhBOKxgBIzUt,"חדשות כאן מנסים לשווק לנו את הנוכל, ולהגדיל את ה 0","KAN News is trying to market the rogue to us, and increase the 0 [Alon: idk what this means]","Feb 28, 2022 · 4:36 PM UTC",IL,,,,
@MytSnyydr,"שדרן איכותי מעולה. לכל המצקצקים פה מחולון בוא נשמע את האנגלית שלכם...
וסך הכל הגיוני לבדוק פעמיים מה פשרה של ההוראה ""להוריד גם תיקים ללובי..."" 
כאילו מילא הוא למקלט 
אבל התיק!?
זה צ'יק האוט!?","Excellent quality broadcaster. To all the people here from Holon dismissing him, let's hear your English... And all in all, it makes sense to check twice what is meant by the instruction ""to also take bags down to the lobby..."" It’s one thing to take himslef to the shelter, but the bag as well!? Is this a check-out!?","Feb 24, 2022 · 7:41 AM UTC",IL,,,,
@LenaDigIL,"מסתמן ששמיים סגורים זה אף פעם לא סימן טוב

נורא מה שקורא. נורא",It turns out that a closed sky is never a good sign. It is terrible what’s happening. Horrible,"Feb 24, 2022 · 7:47 AM UTC",IL,,,,
@keetyko,"אם רק הייתה כיפת ברזל לאוקראינה... אבל לא, ישראל הטילה וטו.","If only there was an iron dome for Ukraine... but no, Israel vetoed it.","Feb 24, 2022 · 8:39 AM UTC",IL,,,,
@yehudit93285265,ישראל צבא הגנה לישראל שילמדו משהו חיילים של הצבא הרוסי מעייפים מטרות בלי למצמץ,"Israel, the Israel Defense Forces need to learn something from the soldiers of the Russian army, they wear out targets without blinking","Feb 24, 2022 · 2:35 PM UTC",IL,,,,
@DoronBl,ניגוד עניינים חמור שיא השחיתות אשיתו של שר המשפים משדרת חדשות . די לפשעים.,"A serious conflict of interest, the height of corruption. The wife of the minister of justice broadcasts the news. Enough with the crimes.","Feb 25, 2022 · 7:18 PM UTC",IL,,,,
@DoronBl,ניגוד עניינים חמור אשתו של שר המשפטים משדרת חדשות לאייזה בורות של  שחעתות הדרדרנו,"A serious conflict of interest. The wife of the Minister of Justice broadcasts the news, to what ignorance of corruption we have degenerated","Feb 25, 2022 · 6:53 PM UTC",IL,,,,
@shirant3,מדהים שגם עכשיו אין לכם שום ביקורת על ההתנהלות של הממשלה הזו! בושה,It's amazing that even now you have no criticism towards the conduct of this government! Shame,"Feb 25, 2022 · 12:47 PM UTC",IL,,,,
@Kojack_T,שרפו את הדרכונים? בסדר... עוד חודש יגיעו לשגרירות להזמין חדש...,Burned the passports? OK... in a month they will come to the embassy to order a new one...,"Feb 25, 2022 · 6:59 AM UTC",IL,,,,
@9cUwpcUTaRA22PF,"רוצים להתעדכן בכל מה שקורה בין רוסיה לאוקראינה?
זירת החדשות
כל החדשות והעדכונים במקום אחד
chat.whatsapp.com/I0qhLmdtdP…",Want to keep up to date with everything that's happening between Russia and Ukraine? the news arena All the news and updates in one place chat.whatsapp.com/I0qhLmdtdP…,"Feb 24, 2022 · 7:22 PM UTC",IL,,,,
@mazkirhakibutz,"כבר 10 דקות הכתובית שלכם בחדשות 11 

""עיריית אוקראינה""!

מי נרדם אצלכם?","For the last 10 minutes your subtitles on TV say  ""Municipality of Ukraine""!  Who fell asleep at your place?","Feb 25, 2022 · 6:37 AM UTC",IL,,,,
@orenco1,שכחו שרק לפני 9 חודשים עפו לנו אלפי טילים מעל הראש..,They forgot that only 9 months ago thousands of missiles flew over our heads..,"Feb 25, 2022 · 1:17 PM UTC",IL,,,,
@KhnMyry,"מי המקור בנט😭😭😭 עוד פייק
ולא לשכוח כל החומרים נמצאים בשקית של אלקין","Who is the source, Bennett?😭😭😭 [Alon: prime minister at the time] Another fake And don't forget that all the material is in Elkin’s bag [Alon: Elkin is a minister who took part in the meeting between Bennett and Putin]","Feb 26, 2022 · 9:24 AM UTC",IL,,,,
@AryehHasfari,רק אוסטרלי יהיה מופתע מהתרחשות של סיטואציה שאותה הוא נשלח לסקר,Only an Australian would be surprised by the occurrence of a situation he was sent to investigate,"Feb 24, 2022 · 10:36 AM UTC",IL,,,,
@slimsagi,שילך להזדיין הדובר. אותו דבר הוא אמר על פעילות של צה״ל . ואתם מפרסמים בני זונוצ,"Fuck the speaker. He said the same thing about the activities of the IDF. And you publish this, you songs of bitches","Feb 25, 2022 · 1:11 PM UTC",IL,,,,
@QVLsgKAiEEsd3aD,"מי עוד צופה באשת השר, שצריך לעבור חקירות על עבירות חמורות, שמיוחסות לו ושמוסתרות?!","Who else is watching the minister's wife, who needs to be investigated for serious crimes, which are attributed to him and which are hidden?!","Feb 25, 2022 · 8:53 PM UTC",IL,,,,
@Sueellen_oh_no,But where they are about me???? Alaskan lonley hunter wildlife & with my *SAINT* HUSBAND ARE THEY GIVING UP ON EVERYTHING YET & JUST LETTING HIM TO COME HERE SAVE ME?,But where they are about me???? Alaskan lonley hunter wildlife & with my *SAINT* HUSBAND ARE THEY GIVING UP ON EVERYTHING YET & JUST LETTING HIM TO COME HERE SAVE ME?,"Feb 24, 2022 · 8:20 PM UTC",IL,,,,
@guyncohen,זאת בדיוק הסיבה שבגללה פוטין יצא למלחמה מהלכים כאלו מערערים את היציבות של רוסיה.,"This is exactly the reason why Putin went to war, such moves undermine the stability of Russia.","Feb 24, 2022 · 9:13 AM UTC",IL,,,,
@Reuven_berger,"איזו עיתונות זולה, מבלבלים את המוח 24/7 כדי שהצופים בבית ישימו חדשות ברקע. אין פלא שרוב האזרחים הפסיקו לצפות ומי שממשיך הוא כבשה בלי חשיבה קריטית","What cheap journalism, talking nonsense 24/7 so that the viewers at home will put news in the background. No wonder most citizens have stopped watching and whoever continues is a sheep without critical thinking","Feb 28, 2022 · 8:59 AM UTC",IL,,,,
@yehudit93285265,עכשיו מדברים על התכונית ארץ נהדרת היא לא סדרה באווירה טובה היא ללעוג ולצחוק למקורות היסטוריה היהודית,"Now we are talking about the program, Eretz Nehederet [Alon: this is an Israeli satire news show] is not a series in a good atmosphere, it is to mock and laugh at the origins of Jewish history","Feb 24, 2022 · 3:55 PM UTC",IL,,,,
@israelit2009,כנראה שבכל זאת לפיד הצליח ללכת בין הטיפות. בטוח שכל ההנהגה חשבה על כל מילה,"Apparently, after all, Lapid managed to ‘walk between the drops’ [Alon: =to speak carefully as to not attract criticism]. It is certain that the entire leadership thought of every word","Feb 25, 2022 · 6:36 PM UTC",IL,,,,
@VVitber,"פסיכופט פוטין לא רוצה שום דיבור עם הממשלה החוקית של אוקראינה. צריך להפסיק לחשוש ואם צריך, לספק נשק לאוקראינה.","Psychopath Putin does not want any talk with the legitimate government of Ukraine. We should stop worrying and if necessary, supply weapons to Ukraine.","Feb 25, 2022 · 6:24 PM UTC",IL,,,,
@Sk34735097,"היתה הערכת חסר????
המודיעין האמריקאי אמר על הזמן.
מה זה אומר על אמן ? אני מאוד מודאג.",Was there an underestimation???? American intelligence notified on time. What does this mean about an AMAN [Alon: the Israeli intelligence organization]? I am very worried.,"Feb 26, 2022 · 9:23 AM UTC",IL,,,,
@UsBnnxVURfS4lPJ,"כל משפט שלפיד מוציא מפיו
 מתברר כבעל פוטנציאל לנזק בלתי הפיך ליחסי החוץ של ישראל עם מדינות העולם תענית דיבור לא תזיק לדביל.",Every sentence that Lapid utters  turns out to have the potential to cause irreversible damage to Israel's foreign relations with the countries of the world. A vow of silence wouldn’t hurt this idiot,"Feb 25, 2022 · 8:46 PM UTC",IL,,,,
@UsBnnxVURfS4lPJ,"תאום מושלם ללא ספק.
אפשר לומר מין מצא את מינו.
אפשר לסמוך על הצמד שימצאו תמיד את הדבר הלא נכון לעשות.",Perfect coordination without a doubt. You can say he found his match. You can count on the duo to always find the wrong thing to do.,"Feb 24, 2022 · 9:32 PM UTC",IL,,,,
@dyesh,איזה הפתעה. רק כמה שבועות כבר מבקשים לא לסוע לשם ולצאת משם. עכשיו אנחנו צריכים לחלץ אותם בטח.,what a surprise. It's only been a few weeks that they've been asking not to go there and get out of there. Now we have to get them out of course.,"Feb 24, 2022 · 8:41 AM UTC",IL,,,,
@Eskande07383937,"רק שהמערב שכח מהאנשים של חבל הדונבאס ב 8 שנים האחרונות ופשעי המלחמה שחלק מהאוקראינים שוב מבצעים שם

והמערב תומך דווקא ברעים 
בצביעותו הנאורה:

Donbass: The Grey Zone. 
Life in the frontline villages

piped.video/watch?v=Kc7P6j…",It's just that the West forgot about the people of the Donbas region in the last 8 years and about the war crimes that some Ukrainians are again committing there.  And the West actually supports the bad guys In his enlightened hypocrisy:  Donbass: The Gray Zone. Life in the frontline villages  piped.video/watch?v=Kc7P6j…,"Feb 25, 2022 · 5:59 PM UTC",IL,,,,
@capitalsitzoem,"מה אתם בכלל מדבררים אותו?

אין לכם טיפת כבוד לאנשים שנכבשו עי פוטין?",Why are you even giving him a platform?  Do you have no respect for the people conquered by Putin?,"Feb 25, 2022 · 2:57 PM UTC",IL,,,,
@AlutaDavid1,Vidéo de sources ukrainiennes d'un hélicoptère armé russe Ka-52 qui a été largué autour de Gustomel après de graves dommages. @SimNasr @FranceBagdad @jonaskasi16 @RFI @ReutersWitness,Vidéo de sources ukrainiennes d'un hélicoptère armé russe Ka-52 qui a été largué autour de Gustomel après de graves dommages. @SimNasr @FranceBagdad @jonaskasi16 @RFI @ReutersWitness,"Feb 24, 2022 · 2:31 PM UTC",IL,,,,
@EzraHaba,מי שחושב שתגובת האמריקאיים לאירנים תהיה שונה מתגובתם לרוסים באוקראינה טועה ומטעה בגדול ! ומסכן את עתידנו,Whoever thinks that the reaction of the Americans to the Iranians will be different from their reaction to the Russians in Ukraine is wrong and greatly mistaken! and endangering our future,"Feb 24, 2022 · 7:42 AM UTC",IL,,,,
@9cUwpcUTaRA22PF,"רוצים להתעדכן בכל מה שקורה בין רוסיה לאוקראינה?
זירת החדשות
כל החדשות והעדכונים במקום אחד
chat.whatsapp.com/I0qhLmdtdP…",Want to keep up to date with everything that's happening between Russia and Ukraine? The news arena All the news and updates in one place chat.whatsapp.com/I0qhLmdtdP…,"Feb 24, 2022 · 7:30 PM UTC",IL,,,,
@michgold1,"לא מבין למה זרים נשארו באוקראינה, כשכבר שבועות היו דיבורים על פלישה ברמה כזאת או אחרת","I don't understand why foreigners stayed in Ukraine, when for weeks there was talk of an invasion at one level or another","Feb 25, 2022 · 10:37 AM UTC",IL,,,,
@6HQz8EjLtiQyws0,אז עכשיו האוקראיני הזמה מבקש לסבך גם את ישראל אסור להסכים חייבים להתעלם ולא לנקוט שום צד,"So now the Ukrainian lecher wants to complicate Israel as well, we must not agree, we must ignore and not take any side","Feb 25, 2022 · 7:07 PM UTC",IL,,,,
@Eskande07383937,"סרט תעודה מגבול חבל הדונבאס.

@MoavVardi
@gilicohen10
@Yoav__Zehavi
@itamargalit
@BenYaniv1
@nathanguttman
@AmichaiStein1
@antonia_yamin
@hadasgrinberg
@guyzo 

צפייה ""מהנה"" #מהצד_השני

Donbass: The Grey Zone. Life in the frontline villages  

piped.video/watch?v=Kc7P6j…","A documentary film from the border of the Donbas region.  @MoavVardi @gilicohen10 @Yoav__Zehavi @itamargalit @BenYaniv1 @nathanguttman @AmichaiStein1 @antonia_yamin @hadasgrinberg @guyzo  Watching ""enjoyable"" #from_the_other_side  Donbass: The Gray Zone. Life in the frontline villages  piped.video/watch?v=Kc7P6j…","Feb 24, 2022 · 9:26 PM UTC",IL,,,,
@Jetje78999135,"Vreselijk!😪 We laten een land met goede bedoelingen richting EU/NAVO ""gewoon"" in de kou staan.",,"Feb 25, 2022 · 9:04 AM UTC",NL,neg,Standpoint on the war?,"We laten een land met goede bedoelingen richting EU/NAVO ""gewoon"" in de kou staan.",NaN
@pukkel471,Ze staat op de bus te wachten naar het werk.,,"Feb 25, 2022 · 7:58 AM UTC",NL,neu,NaN,NaN,NaN
@9a0aa893b7b444f,"Poetin maakt het niet uit als de bevolking honger heeft.
Hij is gek en doet wat hij wil",,"Feb 24, 2022 · 8:58 PM UTC",NL,neu,View on Putin,Hij is gek en doet wat hij wil,Poetin maakt het niet uit als de bevolking honger heeft.?
@PhilipEdinbruh,"De AZC's zitten al vol met mannen, laten we het nu beperken tot vrouwen",,"Feb 24, 2022 · 1:17 PM UTC",NL,neu,Which refugees to allow entering the country,"De AZC's zitten al vol met mannen, laten we het nu beperken tot vrouwen",NaN
@Melcom53685249,Europese leiders hebben geen ruggengraat met hun geouwehoer over zware sancties die eigenlijk niets voorstellen.,,"Feb 25, 2022 · 2:56 PM UTC",NL,neg,Sanctions against Putin and his followers,Europese leiders hebben geen ruggengraat,geouwehoer over zware sancties die eigenlijk niets voorstellen.
@pukkel471,Hij zal wel met zijn staart tussen de benen vluchten met zijn corrupte bende.,,"Feb 25, 2022 · 3:55 PM UTC",NL,,,,
@58Kameleon,Stop eens met deze propaganda. Er is helemaal niets aan de hand in Oekraine. Mensen maar bang maken. Gelukkig hebben vele Nederlanders door waar jullie staattv mee bezig zijn. Alleen maar FAKENIEUWS,,"Feb 24, 2022 · 6:32 AM UTC",NL,,,,
@TINUS51,"De reacties zijn weer van het allerhoogste niveau …. Man man man , ik hoop voor jullie dat je nooit in een oorlog verzeild raakt . Ik heb in de jaren 90 in Bosnië gezien wat dat doet !!!!!",,"Feb 24, 2022 · 3:55 PM UTC",NL,,,,
@JHR1958,Verbazingwekkend dat hij nu al wil praten. Onzeker over uitkomst?,,"Feb 25, 2022 · 6:52 PM UTC",NL,,,,
@esromee,"Vreselijk. Is Poetin nog wel helemaal lekker? 
Al die onschuldige mensen omdat WEER 1 leider zich verveeld en voordat hij dood gaat zijn onderdanen in de oorlog jaagt. 
Ik hoop dat de russen wakker worden en Poetin verjagen. Maar vrij spreken durven ze waarschijnlijk niet.",,"Feb 24, 2022 · 8:26 AM UTC",NL,,,,
@YvonneSnitjer,"Niet alleen het materiaal is in aantal vele keren meer
Helaas is men ook getraind om koste wat kost ...
Het is dan ook te hopen dat de Wagner ... hoewel het zou fijn zijn als deze uit Libie en elders vertrekken
ook deze week weer 2 kinderen omgekomen door hen",,"Feb 24, 2022 · 3:06 PM UTC",NL,,,,
@arnoudfey,"Ze moeten er een 2de Afghanistan van maken de Oekraïners en al het mogelijke van het Westen krijgen.Wapens,mevr.Kaag etc.",,"Feb 25, 2022 · 11:02 PM UTC",NL,,,,
@9a0aa893b7b444f,"Gut zielige wappies moeten corona erbij halen.
Hoe dom ben je dan",,"Feb 24, 2022 · 11:23 AM UTC",NL,,,,
@Ronnie_te_B,"Ik wordt hier intens verdrietig van.
We voeren oorlog tegen de politiek, niet tegen de burgers van Oekraïne????
#Oekraine #civilwar2022",,"Feb 25, 2022 · 12:04 PM UTC",NL,,,,
@HaagseHopjes123,Ik dacht dat jij zo'n voorstander was van lockdowns?! Je zal maar een restaurant hebben en te maken krijgen met lockdowns.,,"Feb 24, 2022 · 8:24 AM UTC",NL,,,,
@NOahsrk2,Die leger oefeningen van Poetin zijn nu wel erg realistisch aan het worden.,,"Feb 24, 2022 · 7:26 AM UTC",NL,,,,
@michel_aalbers,Laten we die kut politieke leiders hier in Nederland het land uitzetten. En die dut ambassade van het diktator regiem plat bombarderen en zorgen dat ze hier nooit meer mogen verblijven,,"Feb 24, 2022 · 5:44 PM UTC",NL,,,,
@Fugazi_1967,Wat een onzin om vluchtelingen uit Oekraïne in NL op te vangen. Wij hebben toch geen enkele binding met dat land en moeten ons niet verantwoordelijk of schuldig voelen. Absolute nonsens.,,"Feb 25, 2022 · 5:48 PM UTC",NL,,,,
@SincerityFiirst,Degene die het voorstel niet steunen hebben een bijdrage aan het bloedbad. Inmiddels zijn er al tientallen doden aan de Oekraïnse kant gemeld.,,"Feb 25, 2022 · 11:07 AM UTC",NL,,,,
@ECleynenbreugel,"@nos waarom verspreiden jullie Ruslands propaganda door op de voorpagina te zetten dat poetin vraagt de Oekraïners over te lopen?
RT nieuws is een grote leugen om de verhaallijn van het glorieuze Rusland te verkondigen",,"Feb 25, 2022 · 4:15 PM UTC",NL,,,,
@OlafNL,"Sancties lijken mij vooralsnog contraproduktief. het drijft Rusland richting China, wiens opstelling van uiterst cruciaal belang is. Zuid Chinese zee conflict en her-overing van Taiwan kunnen voor een wereldoorlog zorgen. Turkije (NAVO) kan ook voor verrassingen zorgen.",,"Feb 24, 2022 · 6:47 AM UTC",NL,,,,
@dnijhof55,Zijn er ook bouwvakkers bij of zijn het alleen autohandelaars,,"Feb 24, 2022 · 1:56 PM UTC",NL,,,,
@lazyenlastig,"Ja het lijkt Canada wel, maar daar praten we niet over hè",,"Feb 25, 2022 · 6:26 AM UTC",NL,,,,
@AnnaIke,Ik begrijp dat we de Russen van de Zuidas gekickt hebben?,,"Feb 24, 2022 · 11:04 AM UTC",NL,,,,
@AlienNostromus,We hebben genoeg woningen om ze onder te brengen toch?,,"Feb 25, 2022 · 4:41 PM UTC",NL,,,,
@LiaLadyL,We weten dat zo wie zo alle prijzen voor ons Nederlanders nu de pan uit schieten.,,"Feb 24, 2022 · 7:41 AM UTC",NL,,,,
@Jay2007V,"Goh,tis een x wat anders dan de VS die zoals gewoonlijk de oorlog verklaart op basis van leugens.Dan staan de grootste oorlogszuchtige lafbekken ter wereld te blaffen. Nu durven ze niet want deze beer heeft geen stokken en stenen, om zich te verweren tegen Westerse agressie.😂😂",,"Feb 24, 2022 · 3:26 AM UTC",NL,,,,
@hweis90388952,"Deze mensen moeten nu opgevangen worden. Van buiten Europa moet afgelopen zijn. China en Poetin nemen geen vluchtelingen op. Wij wel en dat brengt Europa ook aan het wankelen. Als er in Europa een oproep zou komen voor dienstplicht, gaan de jongelui met dubbel paspoort dan terug?",,"Feb 25, 2022 · 9:12 AM UTC",NL,,,,
@etterkwak,Dat deze persoon het overleefd heeft is echt een klein wonder.,,"Feb 25, 2022 · 11:37 AM UTC",NL,,,,
@EricJFKleijssen,"lachen joh 😡, 13 jonge grenswachten vermoord en Hubert Smeets moet er om lachen 🙈 oud (…) correspondent of Stand Up Comedian ?🤮🤮🤮 Zeg @nos hebben jullie niks beters dan deze #HansKlavan ?",,"Feb 25, 2022 · 7:47 AM UTC",NL,,,,
@Hashtaggerforl1,"Rusland heeft weinig staatschuld... 
Weinig schulden aan andere landen.
En als klap op de vuurpijl ze hebben zwaar geinvesteerd in goud en dat soort zalen waarvan de prijs eerder stijgt dan zakt..

Dit kunnen ze wel ff uitzingen",,"Feb 24, 2022 · 8:48 PM UTC",NL,,,,
@jannnuuss,Voor alle knappe blonde Oekraïnse dames jullie zijn welkom hier hoor,,"Feb 24, 2022 · 6:40 AM UTC",NL,,,,
@55Kempenaar,"Geschiedenis herhaalt zich  excuus zoeken om binnen te vallen en dan aanvallen , Adolf Poetin met z'n maatje Mussolini in Belarus, misschien na een aantal jaar zal Moskou branden als Berlijn",,"Feb 24, 2022 · 8:05 AM UTC",NL,,,,
@DhrHofstede,Dat heeft de al bijna 2 jaar door een apartheidsstaat te creëren op basis van medische nonsens.,,"Feb 24, 2022 · 9:24 AM UTC",NL,,,,
@nanne1988,"Dat giro 999 heeft wel lef hè! Weet iedereen het nog het Oekraïne referendum, niemand wilde Oekraïne erbij en toch werd het door u neus geboord! En nu geld vragen terwijl de meeste Nederlanders het alleen maar moeilijker gaan krijgen!! Schaam je!",,"Feb 24, 2022 · 1:44 PM UTC",NL,,,,
@WielkopolskaPL,Schrijf niet Putin kondigt militaire operatie.  Maar Rusland kondigt oorlog !,,"Feb 24, 2022 · 5:47 AM UTC",NL,,,,
@DHoogduin,iets met verdragen enzo. en we zijn immers niet in oorlog met rusland. ukraine is in oorlog met rusland. geen eu lid en geen navo lid. En laten we dat zo houden.,,"Feb 25, 2022 · 1:14 PM UTC",NL,,,,
@ReneNaafs,Ach ach bla bla we hebben alleen onzelf er mee let maar op je portemonnee,,"Feb 25, 2022 · 6:00 AM UTC",NL,,,,
@primerablond,Erdoghan is de enige die Oekraïne durfde te steunen met drones. Hij heeft Oekraïne nota bene een fabriek voor drones laten bouwen. terwijl de andere navolanden alleen helmen en vesten stuurden. Wat een flutartikel weer.,,"Feb 25, 2022 · 6:25 PM UTC",NL,,,,
@Remco76887460,"De schuld van de #NATO! ELKE KEER MAAR VERDER OPSCHUIVEN NAAR HET OOSTEN. 
NU IS OEKRAÏNE DOOR JULLIE IN OORLOG EN LATEN JULLIE ZE VALLEN.",,"Feb 24, 2022 · 10:42 AM UTC",NL,,,,
@Shad0wrune,"ah de sectie domme vragen is er weer:
Antwoord: landje pik",,"Feb 24, 2022 · 5:03 PM UTC",NL,,,,
@MTheYoungOne,"Kom maar naar NL, ‘veilige landers’ als de sodemieter de grens over en Oekraïners welkom 🇺🇦",,"Feb 24, 2022 · 1:36 PM UTC",NL,,,,
@reest_jan,"Het grootste gevaar is nog niet geweken, als mister Poetin nog verder gaat dan de Oekraine en een navo land aanvalt!",,"Feb 24, 2022 · 11:42 AM UTC",NL,,,,
@Metssr,"Ik zou zweren dat ik op school vroeger leerde bij aardrijkskunde dat Kiev in Rusland lag? 
Wanneer is dat veranderd?  🤔",,"Feb 25, 2022 · 7:55 AM UTC",NL,,,,
@ayahowololo,"Oh, we hebben hier ook nog de PVV en FvD als de poster boys van Putin.",,"Feb 25, 2022 · 6:12 PM UTC",NL,,,,
@vermeer_jos,Er zijn veel zakenmensen uit Rusland die hun geld verdienen in Europa. Bevries deze bankrekeningen en stuur ze terug naar Poetin. Pas terugkomen als die gek weer normaal doet.,,"Feb 24, 2022 · 9:19 AM UTC",NL,,,,
